Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,CAS,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
63,25,MassogliaB,12,5,8,32,28,196,135,1.4519,12,0.3243,0.8,0.9000,168,112,1.5000,33,0.5000,-21,1.2243,--,1.4,--,0.8243,107,1,0,20,3,A Central,3,Central,RossC
63,25,MastA,13,9,3,29,27,134,98,1.3673,37,0.3700,0.890842298052803,0.6533,107,81,1.3210,34,0.6495,3,1.0233,--,1.3028,--,1.0195,103,0,0,13,9,C Coastal,5,Coastal,ReynaldoA
63,25,MateraM,12,11,2,26,4,92,76,1.2105,33,0.3000,0.87086164228309,0.5067,88,72,1.2222,28,0.7083,5,0.8067,--,1.215,--,1.0083,96,0,0,6,20,D Coastal Div 1,11,Coastal,PahkJ
63,25,MatherA,11,11,3,24,1,84,56,1.5000,46,0.5000,1.2419339757008,0.3889,83,58,1.4310,39,0.5465,7,0.8889,--,0.9354,--,1.0465,88,2,1,8,16,D Corridor Div 1,14,Corridor,RafalA
63,25,MatherV,4,17,4,12,-47,99,84,1.1786,24,0.2353,1.09105453575887,0.5600,146,106,1.3774,21,0.6912,3,0.7953,--,1.2512,--,0.9265,92,1,0,6,17,A Metro,26,Metro,MeyerS
63,25,MathesJ,16,7,2,34,31,135,101,1.3366,27,0.3103,1.11283421945948,0.6733,104,79,1.3165,36,0.6436,-9,0.9836,--,1.3169,--,0.9539,111,0,0,13,6,C Central,4,Central,ZuffranieriJ
63,25,MatheyS,11,12,2,21,-2,96,75,1.2800,26,0.3059,1.57480157480236,0.5682,98,76,1.2895,33,0.6633,-7,0.8741,--,1.2315,--,0.9692,108,0,3,4,11,C Metro,23,Metro,ArizpeAC
63,25,MathurV,7,13,5,19,-14,65,51,1.2745,34,0.3736,1.14821600755259,0.3400,79,61,1.2951,36,0.6289,-2,0.7136,--,0.9689,--,1.0025,94,1,0,4,24,D Horizon Div 2,17,Horizon,SchwartzJL
63,25,MatrosM,7,15,3,17,-33,47,47,1.0000,23,0.2473,0.951630180269626,0.3133,80,61,1.3115,37,0.6186,-14,0.5606,--,0.9319,--,0.8659,83,0,0,3,28,D Seaboard Div 1,27,Seaboard,MatrosM
63,25,MatsonS,8,15,2,18,-29,38,30,1.2667,23,0.3833,1.2,0.2000,67,51,1.3137,32,0.6145,-9,0.5833,--,0.8145,--,0.9978,0,1,0,3,26,R Highland Div 1,21,Highland,CraigR
63,25,MattaC,8,12,5,14,-6,40,30,1.3333,23,0.4107,1.2328828005938,0.2778,46,37,1.2432,25,0.6377,-2,0.6885,--,0.9155,--,1.0484,83,1,7,2,9,E Highland Div 1,28,Highland,WestJ
63,25,MatthewsD,14,10,1,29,10,91,70,1.3000,37,0.3627,1.13137084989848,0.4667,81,56,1.4464,35,0.5395,2,0.8294,--,1.0062,--,0.9022,0,5,0,3,17,R Seaboard Div 1,8,Seaboard,CorbblahJ
63,25,MatthewsK,8,16,1,14,-34,77,62,1.2419,29,0.3222,1.38910042833483,0.4697,111,84,1.3214,29,0.6705,0,0.7919,--,1.1402,--,0.9927,95,1,3,6,9,C Skyline,31,Skyline,LutherS
63,25,MatthewsP,15,6,4,34,24,171,121,1.4132,23,0.3433,0.924337600663307,0.8067,147,104,1.4135,36,0.6000,-13,1.15,--,1.4067,--,0.9433,99,0,0,19,8,A Coastal,2,Coastal,MatthewsP
63,25,MattinglyD,6,14,5,17,-22,158,115,1.3739,23,0.3067,0.979795897113271,0.7667,180,125,1.4400,21,0.6316,2,1.0734,--,1.3983,--,0.9383,103,0,0,15,7,A Central,22,Central,Ibbott
63,25,MattinglyM,8,16,1,17,-23,88,67,1.3134,29,0.3494,1.59298462013919,0.4467,111,89,1.2472,23,0.7473,6,0.7961,--,1.194,--,1.0967,88,1,0,7,13,C Central,27,Central,Ibbott
63,25,MattsonJ,15,6,4,34,28,77,58,1.3276,37,0.3936,1.19063008529098,0.3867,49,41,1.1951,27,0.6582,10,0.7803,--,1.0449,--,1.0518,104,0,0,12,23,E Corridor Div 2,4,Corridor,ZuckermanD
63,25,MaurerD,14,9,2,30,8,164,120,1.3667,21,0.2838,0.692820323027551,0.8000,156,105,1.4857,40,0.5181,-19,1.0838,--,1.3181,--,0.8019,104,0,0,13,5,A Midland,8,Midland,MaurerD
63,25,MaxwellT,7,16,2,6,-31,70,47,1.4894,32,0.4923,1.704582060213,0.5222,101,71,1.4225,35,0.5679,-3,1.0145,--,1.0901,--,1.0602,0,0,10,8,9,R Central Div 3,21,Central,von WalterH
63,25,MayauskyA,4,21,0,5,-72,34,31,1.0968,21,0.3134,1.03072789813801,0.2348,106,74,1.4324,41,0.5543,-20,0.5482,--,0.7891,--,0.8677,0,1,3,2,22,R Central Div 1,22,Central,JohnsonP
63,25,MayfieldJ,22,2,1,45,79,165,111,1.4865,40,0.4819,0.897997772825746,0.7400,86,68,1.2647,32,0.6667,8,1.2219,--,1.4067,--,1.1486,0,1,0,19,12,R Coastal Div 1,1,Coastal,MayfieldJ
63,25,MazeM,11,10,4,25,6,61,49,1.2449,31,0.3563,1.21589473228565,0.3403,55,47,1.1702,24,0.6962,7,0.6966,--,1.0365,--,1.0525,90,2,1,3,22,E Pacific Div 2,16,Pacific,ShapiroA
63,25,MazouatJ,11,6,8,29,11,42,34,1.2353,27,0.3750,0.974884608556315,0.2361,31,33,0.9394,14,0.7846,13,0.6111,--,1.0207,--,1.1596,96,1,1,3,18,E Corridor Div 1,8,Corridor,CostelloR
63,25,MazumdarP,11,13,1,23,7,156,109,1.4312,37,0.4157,0.741889479639656,0.7267,149,105,1.4190,33,0.6024,4,1.1424,--,1.3291,--,1.0181,106,0,0,14,3,A Corridor,16,Corridor,RafalA
63,25,MazurJ,7,14,4,18,-28,62,50,1.2400,36,0.3673,0.8,0.3333,90,68,1.3235,30,0.6429,6,0.7006,--,0.9762,--,1.0102,0,2,0,3,31,R Pacific Div 2,18,Pacific,PenroseB
